引用键/对象,文献条目或来源,核验来源,核验状态/正文处理
A_Comprehensive_Survey_of_AI_Ethics_Benchmarks (6).pdf,用户指定综合survey；用于补充survey评价、benchmark列表和rubric校准,/Users/juiceq/Desktop/ethics benchmark/A_Comprehensive_Survey_of_AI_Ethics_Benchmarks (6).pdf；已抽取文本 /private/tmp/comprehensive_survey_ai_ethics_benchmarks.txt,作为二级综合来源使用；具体benchmark正文尽量配独立文献引用
hancoxli2024ethics,Leif Hancox-Li and Borhane Blili-Hamelin. 2024. Is ETHICS about ethics? Evaluating the ETHICS benchmark.,NeurIPS EvalEval 2024页面：https://neurips.cc/virtual/2024/104200；arXiv:2410.13009；本地survey文本 hancox-li_is_2024.txt,保留；用于ETHICS构念效度和标签质量批评
jiao2025llmethics,Junfeng Jiao et al. 2025. LLM ethics benchmark: A three-dimensional assessment system for evaluating moral reasoning in large language models.,Scientific Reports页面：https://www.nature.com/articles/s41598-025-18489-7；本地survey文本 jiao_llm_2025.txt,保留；用于LLM Ethics Benchmark、MFQ/WVS/moral dilemmas和三维伦理评估
zhong2025cme,"Tammy Zhong, Yang Song, Raynaldio Limarga, and Maurice Pagnucco. 2025. Computational machine ethics: A survey.",JAIR页面：https://www.jair.org/index.php/jair/article/view/16836；DOI 10.1613/jair.1.16836,保留；用于machine ethics/道德推理survey支撑
jung2025flex,Dahyun Jung et al. 2025. FLEX: A Benchmark for Evaluating Robustness of Fairness in Large Language Models.,ACL Anthology：https://aclanthology.org/2025.findings-naacl.199/；DOI 10.18653/v1/2025.findings-naacl.199,保留；用于adversarial fairness robustness
kim2023propile,Siwon Kim et al. 2023. ProPILE: Probing Privacy Leakage in Large Language Models.,NeurIPS Proceedings：https://proceedings.neurips.cc/paper_files/paper/2023/hash/420678bb4c8251ab30e765bc27c3b047-Abstract-Conference.html,保留；用于PII probing/privacy leakage
mireshghallah2023confaide,Niloofar Mireshghallah et al. 2024. Can LLMs Keep a Secret? Testing Privacy Implications of Language Models via Contextual Integrity Theory.,OpenReview ICLR 2024：https://openreview.net/forum?id=gmg7t8b4s0；ConfAIde项目页：https://confaide.github.io/,保留；bibkey沿用草稿命名但条目年份按ICLR 2024写入
li2024llmpbe,Qinbin Li et al. 2024. LLM-PBE: Assessing Data Privacy in Large Language Models.,PVLDB PDF：https://www.vldb.org/pvldb/vol17/p3201-li.pdf；DOI 10.14778/3681954.3681994,保留；用于privacy lifecycle/data privacy leakage assessment
li2025privaci,Haoran Li et al. 2025. PrivaCI-Bench: Evaluating Privacy with Contextual Integrity and Legal Compliance.,ACL Anthology：https://aclanthology.org/2025.acl-long.518/；DOI 10.18653/v1/2025.acl-long.518,保留；用于contextual integrity和legal compliance privacy evaluation
正文引用清理,BetterBench、HumaniBench、LiveBench等未在当前核验链中逐条落源的命名例子,proposal_acl.tex 当前版本,已改为泛化表述或移除，不作为正文独立证据
LaTeX静态检查,proposal_acl.tex 中 cite key 与 bibitem 对齐检查,本地脚本检查：missing citation keys = [],通过；系统未安装pdflatex/latexmk，未能编译PDF
internalguidelines2026 / internallabelalignment2026 / internalindustry2026,三份本地治理/标签/行业调研工作笔记；用于说明五标签来自集团科技伦理准则与数据集建设映射,/Users/juiceq/Desktop/survey/如何深入理解集团科技伦理准则？（For 数据集）.md；科技伦理准则细化：一级标签对齐.md；科技伦理行业实践调研.md,保留；作为unpublished internal working notes引用，支撑五标签来源
unesco2021aiethics,UNESCO. 2021. Recommendation on the Ethics of Artificial Intelligence.,UNESCO official recommendation page,保留；支撑human-centered、rights、inclusion、governance映射
oecd2019aiprinciples,OECD. 2019. Recommendation of the Council on Artificial Intelligence.,OECD Legal Instruments OECD/LEGAL/0449,保留；支撑human-centered、inclusion、robustness、accountability映射
euaiact2024,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence.,EUR-Lex / Official Journal of the European Union,"保留；支撑risk, human oversight, transparency, safety and fundamental-rights mapping"
nistairmf2023,NIST. 2023. Artificial Intelligence Risk Management Framework (AI RMF 1.0).,NIST AI 100-1 official publication,"保留；支撑safety, fairness, privacy, transparency, accountability和risk management"
gdpr2016 / pipl2021,GDPR and Personal Information Protection Law of the PRC.,"EUR-Lex GDPR text；PIPL adopted Aug. 20, 2021",保留；支撑privacy protection标签
Qwen API extraction,Tool来源分布表由Qwen API基于本地证据生成初稿，并经人工去重/校正/补充,/private/tmp/qwen_tool_source_distribution*.json；Tool来源分布表 Extraction note列,已用于填写Tool来源分布表；已修正Qwen可能过度概括的表述
Appendix artifacts,七张附录图和两个英文附录表,/private/tmp/heart_toolkit_work/latex/figures/*.pdf；appendix_benchmark_diagnosis.tex；appendix_rubric_standards.tex,已放入HEART zip的latex目录并由proposal_acl.tex引用
